127.0.0.1 - - [07/May/2021:01:45:13 +0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/May/2021:01:45:23 +0200] "GET /MyWebStore/login HTTP/1.1" 200 2047
0:0:0:0:0:0:0:1 - - [07/May/2021:01:45:23 +0200] "GET /MyWebStore/signin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2021:01:45:23 +0200] "GET /MyWebStore/assets/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2021:01:45:23 +0200] "GET /MyWebStore/assets/brand/bootstrap-logo.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2021:01:45:31 +0200] "GET /MyWebStore/login HTTP/1.1" 200 2047
0:0:0:0:0:0:0:1 - - [07/May/2021:01:45:31 +0200] "GET /MyWebStore/assets/brand/bootstrap-logo.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2021:01:45:31 +0200] "GET /MyWebStore/signin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2021:01:45:31 +0200] "GET /MyWebStore/assets/dist/css/bootstrap.min.css HTTP/1.1" 200 153402
0:0:0:0:0:0:0:1 - - [07/May/2021:01:45:37 +0200] "POST /MyWebStore/login HTTP/1.1" 200 2067
0:0:0:0:0:0:0:1 - - [07/May/2021:01:45:54 +0200] "POST /MyWebStore/login HTTP/1.1" 200 13829
0:0:0:0:0:0:0:1 - - [07/May/2021:01:45:54 +0200] "GET /MyWebStore/assets/dist/js/bootstrap.bundle.min.js HTTP/1.1" 200 80217
0:0:0:0:0:0:0:1 - - [07/May/2021:01:47:09 +0200] "GET /MyWebStore/assets/dist/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 315920
0:0:0:0:0:0:0:1 - - [07/May/2021:01:47:09 +0200] "GET /MyWebStore/assets/dist/css/bootstrap.min.css.map HTTP/1.1" 200 423467
0:0:0:0:0:0:0:1 - - [07/May/2021:01:50:04 +0200] "POST /MyWebStore/login HTTP/1.1" 200 3785
0:0:0:0:0:0:0:1 - - [07/May/2021:01:50:16 +0200] "GET /MyWebStore/assets/dist/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 315920
0:0:0:0:0:0:0:1 - - [07/May/2021:01:50:16 +0200] "GET /MyWebStore/assets/dist/css/bootstrap.min.css.map HTTP/1.1" 200 423467
0:0:0:0:0:0:0:1 - - [07/May/2021:01:52:34 +0200] "POST /MyWebStore/login HTTP/1.1" 200 2894
0:0:0:0:0:0:0:1 - - [07/May/2021:01:52:34 +0200] "GET /MyWebStore/assets/dist/css/bootstrap.min.css.map HTTP/1.1" 200 423467
0:0:0:0:0:0:0:1 - - [07/May/2021:01:52:34 +0200] "GET /MyWebStore/assets/dist/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 315920
0:0:0:0:0:0:0:1 - - [07/May/2021:01:53:24 +0200] "POST /MyWebStore/login HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [07/May/2021:01:53:24 +0200] "GET /MyWebStore/assets/dist/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 315920
0:0:0:0:0:0:0:1 - - [07/May/2021:01:53:24 +0200] "GET /MyWebStore/assets/dist/css/bootstrap.min.css.map HTTP/1.1" 200 423467
0:0:0:0:0:0:0:1 - - [07/May/2021:01:53:41 +0200] "GET /MyWebStore/assets/dist/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 315920
0:0:0:0:0:0:0:1 - - [07/May/2021:01:53:41 +0200] "GET /MyWebStore/assets/dist/css/bootstrap.min.css.map HTTP/1.1" 200 423467
0:0:0:0:0:0:0:1 - - [07/May/2021:01:53:53 +0200] "POST /MyWebStore/login HTTP/1.1" 200 2215
0:0:0:0:0:0:0:1 - - [07/May/2021:01:53:53 +0200] "GET /MyWebStore/assets/dist/css/bootstrap.min.css.map HTTP/1.1" 200 423467
0:0:0:0:0:0:0:1 - - [07/May/2021:01:53:53 +0200] "GET /MyWebStore/assets/dist/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 315920
0:0:0:0:0:0:0:1 - - [07/May/2021:01:55:57 +0200] "POST /MyWebStore/login HTTP/1.1" 200 2216
0:0:0:0:0:0:0:1 - - [07/May/2021:01:56:10 +0200] "POST /MyWebStore/login HTTP/1.1" 200 2197
0:0:0:0:0:0:0:1 - - [07/May/2021:01:56:43 +0200] "POST /MyWebStore/login HTTP/1.1" 200 2268
0:0:0:0:0:0:0:1 - - [07/May/2021:01:57:13 +0200] "POST /MyWebStore/login HTTP/1.1" 200 2215
0:0:0:0:0:0:0:1 - - [07/May/2021:01:57:55 +0200] "POST /MyWebStore/login HTTP/1.1" 200 2206
0:0:0:0:0:0:0:1 - - [07/May/2021:01:58:41 +0200] "POST /MyWebStore/login HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [07/May/2021:19:38:14 +0200] "GET /MyWebStore/ HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [07/May/2021:19:38:18 +0200] "GET /MyWebStore/login HTTP/1.1" 200 2047
0:0:0:0:0:0:0:1 - - [07/May/2021:19:38:18 +0200] "GET /MyWebStore/assets/dist/css/bootstrap.min.css HTTP/1.1" 304 -
